Name	Price	Cuisine	Award	City	Country	Price Level
Isshisoden Nakamura	¥	Japanese	3	Kyoto	Japan	4
Mizai	¥	Japanese	3	Kyoto	Japan	4
Hyotei	¥	Japanese	3	Kyoto	Japan	4
Maeda	¥	Japanese	3	Kyoto	Japan	4
Gion Sasaki	¥	Japanese	3	Kyoto	Japan	4
HAJIME	¥	Innovative	3	Osaka	Japan	4
Taian	¥	Japanese	3	Osaka	Japan	3
Kikunoi Honten	¥	Japanese	3	Kyoto	Japan	4
Ji Pin Court	¥	Cantonese	2	Shanghai	China Mainland	3
The House of Rong	¥	Taizhou	2	Shanghai	China Mainland	4
Da Vittorio	¥	Italian	2	Shanghai	China Mainland	4
Bao Li Xuan	¥	Cantonese	2	Shanghai	China Mainland	4
8 ½ Otto e Mezzo Bombana	¥	Italian	2	Shanghai	China Mainland	4
102 House	¥	Cantonese	2	Shanghai	China Mainland	4
Imperial Treasure Fine Chinese Cuisine (Huangpu)	¥	Cantonese	2	Shanghai	China Mainland	3
Canton 8 (Runan Street)	¥	Cantonese	2	Shanghai	China Mainland	2
Piccolo Lago	€	Creative	2	Fondotoce	Italy	4
Harry's Piccolo	€	Creative	2	Trieste	Italy	4
Torre del Saracino	€	Creative	2	Vico Equense	Italy	4
Piazzetta Milù	€	Creative	2	Castellammare di Stabia	Italy	4
George Restaurant	€	Contemporary	2	Naples	Italy	4
San Domenico	€	Classic Cuisine	2	Imola	Italy	4
Il Piccolo Principe	€	Creative	2	Viareggio	Italy	4
Jônt	$	Contemporary	2	Washington	USA	4
minibar	$	Contemporary	2	Washington	USA	4
Pineapple and Pearls	$	Contemporary	2	Washington	USA	4
Saga	$	Contemporary	2	New York	USA	4
The Modern	$	Contemporary	2	New York	USA	4
Daniel	$	French	2	New York	USA	4
Atera	$	Contemporary	2	New York	USA	4
Jingji	¥	Beijing Cuisine	2	Beijing	China Mainland	4
Shanghai Cuisine	¥	Shanghainese	2	Beijing	China Mainland	3
Anne-Sophie Pic	€	Creative	2	Lausanne	Switzerland	4
roots	€	Modern Cuisine	2	Basel	Switzerland	4
Pavillon	€	Classic French	2	Zurich	Switzerland	4
Skin's - the restaurant	€	Modern Cuisine	2	Lenzburg	Switzerland	4
Da Vittorio	€	Italian	2	Saint Moritz	Switzerland	4
IGNIV by Andreas Caminada	€	Creative	2	Bad Ragaz	Switzerland	4
La Table du Lausanne Palace	€	Modern French	2	Lausanne	Switzerland	4
L'Atelier Robuchon	€	French Contemporary	2	Geneva	Switzerland	4
Sushi Masaki Saito	$	Japanese	2	Toronto	Canada	4
Yu Zhi Lan	¥	Sichuan	2	Chengdu	China Mainland	4
Xin Rong Ji	¥	Taizhou	2	Chengdu	China Mainland	4
Molino de Urdániz	$	Spanish Contemporary	2	Taipei	Taiwan	4
Mudan	$	Tempura	2	Taipei	Taiwan	4
logy	$	Asian Contemporary	2	Taipei	Taiwan	3
L'Atelier de Joël Robuchon	$	French Contemporary	2	Taipei	Taiwan	4
Liberté	$	Modern Cuisine	2	Kaohsiung	Taiwan	4
RAW	$	Innovative	2	Taipei	Taiwan	4
Commis	$	Contemporary	2	Oakland	USA	4
Providence	$	Seafood	2	Hollywood	USA	4
Mélisse	$	Modern French	2	Santa Monica	USA	4
Jiang by Chef Fei	¥	Cantonese	2	Guangzhou	China Mainland	3
Imperial Treasure Fine Chinese Cuisine	¥	Cantonese	2	Guangzhou	China Mainland	3
Taian Table	¥	European Contemporary	2	Guangzhou	China Mainland	4
Waku Ghin	$	Japanese Contemporary	2	Singapore		4
Cloudstreet	$	Innovative	2	Singapore		4
Thevar	$	Innovative	2	Singapore		3
Jaan by Kirk Westaway	$	British Contemporary	2	Singapore		3
Shoukouwa	$	Sushi	2	Singapore		4
Saint Pierre	$	French Contemporary	2	Singapore		4
Henne Kirkeby Kro	€	Classic Cuisine	2	Henne	Denmark	4
