Name	Price	Cuisine	Award	City	Country	Price Level
Yong Fu (Hongkou)	¥	Ningbo	1	Shanghai	China Mainland	4
Ren He Guan (Xuhui)	¥	Shanghainese	1	Shanghai	China Mainland	2
Seventh Son	¥	Cantonese	1	Shanghai	China Mainland	3
EHB	¥	European Contemporary	1	Shanghai	China Mainland	4
Yue Hai Tang	¥	Cantonese	1	Shanghai	China Mainland	3
T'ang Court	¥	Cantonese	1	Shanghai	China Mainland	4
Fu 1015	¥	Shanghainese	1	Shanghai	China Mainland	4
New Wave by Da Vittorio Bistrot	¥	Italian	1	Shanghai	China Mainland	4
Lu Style (Huangpu)	¥	Shandong	1	Shanghai	China Mainland	3
Fu 1088	¥	Shanghainese	1	Shanghai	China Mainland	3
Nin	€	Creative	1	Brenzone sul Garda	Italy	4
Kitchen	€	Italian Contemporary	1	Como	Italy	3
Cannavacciuolo Bistrot	€	Creative	1	Turin	Italy	4
Carignano	€	Creative	1	Turin	Italy	4
Moma	€	Creative	1	Rome	Italy	3
Campo del Drago	€	Contemporary	1	Montalcino	Italy	4
Arnaldo - Clinica Gastronomica	€	Emilian	1	Rubiera	Italy	3
Amistà	€	Italian Contemporary	1	Corrubbio	Italy	3
sui generis.	€	Creative	1	Saronno	Italy	4
La Favellina	€	Italian Contemporary	1	Malo	Italy	4
L'Erba del Re	€	Creative	1	Modena	Italy	3
Relais Blu	€	Mediterranean Cuisine	1	Massa Lubrense	Italy	3
Il Flauto di Pan	€	Creative	1	Ravello	Italy	4
Gellius	€	Modern Cuisine	1	Oderzo	Italy	3
Lido 84	€	Creative	1	Fasano del Garda	Italy	4
Il Convivio Troiani	€	Contemporary	1	Rome	Italy	4
La Pineta	€	Seafood	1	Marina di Bibbona	Italy	3
Aroma	€	Modern Cuisine	1	Rome	Italy	4
Imàgo	€	Italian Contemporary	1	Rome	Italy	4
Re Maurì	€	Creative	1	Salerno	Italy	4
Dolce Stil Novo alla Reggia	€	Italian Contemporary	1	Venaria Reale	Italy	3
Romano	€	Seafood	1	Viareggio	Italy	4
Maeba Restaurant	€	Italian Contemporary	1	Ariano Irpino	Italy	3
Il Faro di Capo d'Orso - Andrea Aprea	€	Creative	1	Maiori	Italy	4
Crocifisso	€	Contemporary	1	Noto	Italy	3
Vitantonio Lombardo	€	Creative	1	Matera	Italy	4
Acquerello	€	Creative	1	Fagnano Olona	Italy	4
Zappatori	€	Modern Cuisine	1	Pinerolo	Italy	3
Cannavacciuolo Cafè & Bistrot	€	Modern Cuisine	1	Novara	Italy	4
Dolomieu	€	Contemporary	1	Madonna di Campiglio	Italy	4
President	€	Mediterranean Cuisine	1	Pompei	Italy	3
Lorenzo	€	Seafood	1	Forte dei Marmi	Italy	4
Anna Stuben	€	Creative	1	Ortisei	Italy	4
Atto di Vito Mollica	€	Italian Contemporary	1	Florence	Italy	4
Mammà	€	Campanian	1	Capri	Italy	4
Vitium	€	Creative	1	Crema	Italy	3
Luisl Stube	€	Creative	1	Algund	Italy	4
Il Desco	€	Italian Contemporary	1	Verona	Italy	4
Iacobucci	€	Italian Contemporary	1	Castel Maggiore	Italy	3
Zia	€	Innovative	1	Rome	Italy	4
Viva Viviana Varese	€	Creative	1	Milan	Italy	4
Ca' Matilde	€	Italian Contemporary	1	Rubbianino	Italy	4
Saporium Firenze	€	Creative	1	Florence	Italy	4
La Sala dei Grappoli	€	Modern Cuisine	1	Montalcino	Italy	4
The Cook	€	Modern Cuisine	1	Genoa	Italy	4
Lorelei	€	Mediterranean Cuisine	1	Sorrento	Italy	4
Lino	€	Italian Contemporary	1	Pavia	Italy	3
Trattoria da Amerigo	€	Emilian	1	Savigno	Italy	2
Casa Mazzucchelli	€	Creative	1	Sasso Marconi	Italy	3
Marco Bottega Ristorante	€	Creative	1	Genazzano	Italy	3
Bolle	€	Italian Contemporary	1	Lallio	Italy	3
Taverna del Capitano	€	Creative	1	Marina del Cantone	Italy	4
Del Cambio	€	Contemporary	1	Turin	Italy	4
San Martino	€	Modern Cuisine	1	Scorzè	Italy	3
Terrazza Bosquet	€	Creative	1	Sorrento	Italy	4
Suinsom	€	Italian Contemporary	1	Selva di Val Gardena	Italy	4
Castello di Fighine	€	Contemporary	1	San Casciano dei Bagni	Italy	3
La Credenza	€	Creative	1	San Maurizio Canavese	Italy	3
Glass Hostaria	€	Creative	1	Rome	Italy	3
Tantris	€	Creative	1	Novara	Italy	3
La Tavola	€	Italian Contemporary	1	Laveno	Italy	4
Il Pellicano	€	Creative	1	Porto Ercole	Italy	4
Giglio	€	Modern Cuisine	1	Lucca	Italy	3
Atman a Villa Rospigliosi	€	Creative	1	Lamporecchio	Italy	3
Paca	€	Italian Contemporary	1	Prato	Italy	3
Villa Elena	€	Creative	1	Bergamo	Italy	4
Materia	€	Creative	1	Cernobbio	Italy	3
Locanda del Pilone	€	Creative	1	Alba	Italy	3
Il Tino	€	Creative	1	Fiumicino	Italy	3
Andrea Larossa	€	Italian Contemporary	1	Turin	Italy	4
Gambero Rosso	€	Seafood	1	Marina di Gioiosa Ionica	Italy	3
Acqua Pazza	€	Seafood	1	Ponza	Italy	3
Principe Cerami	€	Modern Cuisine	1	Taormina	Italy	4
Casa Vissani	€	Creative	1	Baschi	Italy	4
Il Cantuccio	€	Modern Cuisine	1	Albavilla	Italy	3
LoRo	€	Creative	1	Trescore Balneario	Italy	3
Spinechile	€	Creative	1	Schio	Italy	4
Aqua Crua	€	Creative	1	Barbarano Vicentino	Italy	4
Antonello Colonna Labico	€	Italian Contemporary	1	Labico	Italy	4
Zash	€	Creative	1	Archi	Italy	4
La Preséf	€	Creative	1	Mantello	Italy	4
Bistrot	€	Seafood	1	Forte dei Marmi	Italy	4
Franco Mare	€	Seafood	1	Marina di Pietrasanta	Italy	4
La Magnolia	€	Modern Cuisine	1	Forte dei Marmi	Italy	4
Elementi	€	Italian Contemporary	1	Torgiano	Italy	4
Pascucci al Porticciolo	€	Seafood	1	Fiumicino	Italy	3
Lux Lucis	€	Creative	1	Forte dei Marmi	Italy	4
San Martino	€	Seafood	1	Treviglio	Italy	3
Pulejo	€	Italian Contemporary	1	Rome	Italy	3
Il Sereno Al Lago	€	Creative	1	Torno	Italy	4
Octavin	€	Creative	1	Arezzo	Italy	4
Mater1apr1ma	€	Italian Contemporary	1	Pontinia	Italy	3
Local	€	Contemporary	1	Venice	Italy	4
Gabbiano 3.0	€	Creative	1	Marina di Grosseto	Italy	4
Idylio by Apreda	€	Italian Contemporary	1	Rome	Italy	4
Rear Restaurant	€	Italian Contemporary	1	Nola	Italy	3
Gusto by Sadler	€	Modern Cuisine	1	San Teodoro	Italy	4
Il Palagio	€	Italian Contemporary	1	Florence	Italy	4
Storie d'Amore	€	Modern Cuisine	1	Borgoricco	Italy	4
La Capanna di Eraclio	€	Seafood	1	Codigoro	Italy	3
La Zanzara	€	Seafood	1	Codigoro	Italy	3
La Buca	€	Seafood	1	Cesenatico	Italy	3
Poggio Rosso	€	Creative	1	Castelnuovo Berardenga	Italy	4
Il Refettorio	€	Mediterranean Cuisine	1	Conca dei Marini	Italy	4
Cannavacciuolo Vineyard	€	Italian Contemporary	1	Casanova di Terricciola	Italy	4
Il Parco di Villa Grey	€	Modern Cuisine	1	Forte dei Marmi	Italy	4
Quadri	€	Modern Cuisine	1	Venice	Italy	4
Arkestra	₺	Fusion	1	Istanbul	Türkiye	3
Maçakızı	₺	Modern Cuisine	1	Bodrum	Türkiye	3
Sankai by Nagaya	₺	Japanese Contemporary	1	Istanbul	Türkiye	4
Little Pearl	$	Contemporary	1	Washington	USA	3
Xiquet	$	Spanish	1	Washington	USA	4
Reverie	$	Contemporary	1	Washington	USA	4
Tail Up Goat	$	Contemporary	1	Washington	USA	2
Imperfecto: The Chef's Table	$	Latin American	1	Washington	USA	4
Rose’s Luxury	$	Contemporary	1	Washington	USA	4
Red Paper Clip	$	Contemporary	1	New York	USA	4
63 Clinton	$	Contemporary	1	New York	USA	4
Frevo	$	Contemporary	1	New York	USA	4
Mari	$	Korean	1	New York	USA	4
Dirt Candy	$	Vegetarian	1	New York	USA	4
Tuome	$	Fusion	1	New York	USA	3
One White Street	$	Contemporary	1	New York	USA	4
Family Meal at Blue Hill	$	American	1	New York	USA	4
Jeju Noodle Bar	$	Korean	1	New York	USA	3
Next	$	Contemporary	1	Chicago	USA	4
Atelier	$	American	1	Chicago	USA	4
Bacchanalia	$	American	1	Atlanta	USA	4
Lazy Betty	$	Contemporary	1	Atlanta	USA	4
Atlas	$	American	1	Atlanta	USA	4
Hytra	€	Modern Cuisine	1	Athens	Greece	3
Patio	€	Modern Cuisine	1	Athens	Greece	4
CTC Urban Gastronomy	€	Modern Cuisine	1	Athens	Greece	3
Spondi	€	French	1	Athens	Greece	4
Tudor Hall	€	Contemporary	1	Athens	Greece	4
Botrini's	€	Mediterranean Cuisine	1	Athens	Greece	4
Varoulko Seaside	€	Seafood	1	Athens	Greece	3
The Beijing Kitchen (Jianguo Road)	¥	Cantonese	1	Beijing	China Mainland	2
Sheng Yong Xing (Chaoyang)	¥	Beijing Cuisine	1	Beijing	China Mainland	3
Xin Rong Ji (Jinrong Street)	¥	Taizhou	1	Beijing	China Mainland	3
Jing Yaa Tang	¥	Beijing Cuisine	1	Beijing	China Mainland	3
Jing	¥	French Contemporary	1	Beijing	China Mainland	3
The Tasty House	¥	Jiangzhe	1	Beijing	China Mainland	3
Mansion Cuisine by Jingyan	¥	Beijing Cuisine	1	Beijing	China Mainland	4
Furong	¥	Hunanese	1	Beijing	China Mainland	3
Zijin Mansion	¥	Cantonese	1	Beijing	China Mainland	3
MO Jasmine	¥	Beijing Cuisine	1	Beijing	China Mainland	3
Fu Chun Ju	¥	Cantonese	1	Beijing	China Mainland	3
Lamdre	¥	Vegetarian	1	Beijing	China Mainland	4
Giada Garden	¥	Italian	1	Beijing	China Mainland	4
Gastro Esthetics DaDong	¥	Chinese Contemporary	1	Beijing	China Mainland	3
Lu Style (Anding Road)	¥	Shandong	1	Beijing	China Mainland	3
Lei Garden (Jinbao Tower)	¥	Cantonese	1	Beijing	China Mainland	3
Ling Long	¥	Innovative	1	Beijing	China Mainland	3
Forum	¥	Cantonese	1	Beijing	China Mainland	4
Il Ristorante - Niko Romito	¥	Italian	1	Beijing	China Mainland	4
Poetry‧Wine (Dongsanhuan Middle Road)	¥	Beijing Cuisine	1	Beijing	China Mainland	2
In Love (Gongti East Road)	¥	Hunanese	1	Beijing	China Mainland	3
Opera Bombana	¥	Italian	1	Beijing	China Mainland	4
Xin Rong Ji (Jianguomenwai Street)	¥	Taizhou	1	Beijing	China Mainland	3
Lu Shang Lu	¥	Shandong	1	Beijing	China Mainland	4
Trb Hutong	¥	French Contemporary	1	Beijing	China Mainland	4
Huaiyang Fu (Dongcheng)	¥	Huaiyang	1	Beijing	China Mainland	2
Cai Yi Xuan	¥	Cantonese	1	Beijing	China Mainland	3
Zhiguan Courtyard	¥	Dongbei	1	Beijing	China Mainland	3
Denis Martin	€	Creative	1	Vevey	Switzerland	4
Aux Trois Amis	€	Country cooking	1	Ligerz	Switzerland	3
Table de Mary	€	Classic French	1	Cheseaux-Noréaz	Switzerland	3
EquiTable	€	Modern Cuisine	1	Zurich	Switzerland	4
Capri	€	Italian	1	Zermatt	Switzerland	4
Traube	€	Classic French	1	Trimbach	Switzerland	4
Tosca	€	Tuscan	1	Geneva	Switzerland	2
Tsé Fung	€	Chinese	1	Geneva	Switzerland	3
the K by mauro colagreco	€	French	1	Saint Moritz	Switzerland	4
Wöschi	€	Modern Cuisine	1	Zurich	Switzerland	3
Löwen	€	Classic Cuisine	1	Menzingen	Switzerland	4
After Seven	€	Creative	1	Zermatt	Switzerland	4
Talvo by Dalsass	€	Mediterranean Cuisine	1	Saint Moritz	Switzerland	4
OZ	€	Vegetarian	1	Fürstenau	Switzerland	4
Sushi Shin	€	Japanese Contemporary	1	Zurich	Switzerland	4
Bad Balgach by Schützelhofer	€	Classic Cuisine	1	Balgach	Switzerland	3
Wiesner Mysterion - Zauber	€	Creative	1	Romoos	Switzerland	4
Sternen - Badstube	€	Classic Cuisine	1	Wangen bei Dübendorf	Switzerland	3
La Miranda Gourmet Stübli	€	Modern Cuisine	1	Samnaun	Switzerland	4
Brasserie Uno	€	Contemporary	1	Zermatt	Switzerland	3
Stéphane Décotterd	€	French Contemporary	1	Montreux	Switzerland	4
Damien Germanier	€	Creative	1	Sion	Switzerland	4
L'OURS	€	Modern Cuisine	1	Crans-Montana	Switzerland	4
Sommet by Martin Göschel	€	Modern Cuisine	1	Gstaad	Switzerland	4
Maison Manesse	€	Creative	1	Zurich	Switzerland	4
Panorama - Cayenne	€	Modern French	1	Steffisburg	Switzerland	3
Zur Gedult	€	International	1	Burgdorf	Switzerland	4
Au 1465	€	French Contemporary	1	Champex-Lac	Switzerland	3
1910 Gourmet by Hausers	€	Contemporary	1	Grindelwald	Switzerland	4
Kaiseki Yu-zen Hashimoto	$	Japanese	1	Toronto	Canada	4
Frilu	$	Contemporary	1	Toronto	Canada	4
Yukashi	$	Japanese	1	Toronto	Canada	4
Edulis	$	Mediterranean Cuisine	1	Toronto	Canada	4
Quetzal	$	Mexican	1	Toronto	Canada	4
Aburi Hana	$	Japanese	1	Toronto	Canada	4
Enigma Yorkville	$	Contemporary	1	Toronto	Canada	4
Grič	€	Farm to table	1	Šentjošt nad Horjulom	Slovenia	4
Hiša Linhart	€	Contemporary	1	Radovljica	Slovenia	3
Restavracija Strelec	€	Modern Cuisine	1	Ljubljana	Slovenia	3
COB	€	Creative	1	Portorož	Slovenia	4
Costes	€	Modern Cuisine	1	Budapest	Hungary	4
Babel	€	Modern Cuisine	1	Budapest	Hungary	4
Borkonyha Winekitchen	€	Modern Cuisine	1	Budapest	Hungary	3
42	€	Modern Cuisine	1	Esztergom	Hungary	4
Rumour	€	Creative	1	Budapest	Hungary	4
Salt	€	Modern Cuisine	1	Budapest	Hungary	4
Bosq	$	Contemporary	1	Aspen	USA	4
Beckon	$	Contemporary	1	Denver	USA	4
Xu's Cuisine	¥	Sichuan	1	Chengdu	China Mainland	3
Silver Pot	¥	Sichuan	1	Chengdu	China Mainland	3
Song Yun Ze	¥	Sichuan	1	Chengdu	China Mainland	4
Fang Xiang Jing	¥	Sichuan	1	Chengdu	China Mainland	3
S Kitchen	¥	French Contemporary	1	Chengdu	China Mainland	3
Chaimen Hui	¥	Sichuan	1	Chengdu	China Mainland	4
Young Art · Yong Ya He Xian (Tongzilin East Road)	¥	Sichuan	1	Chengdu	China Mainland	3
Hokkien Cuisine	¥	Fujian	1	Chengdu	China Mainland	3
Fu Rong Huang	¥	Sichuan	1	Chengdu	China Mainland	2
Ma's Kitchen	¥	Sichuan	1	Chengdu	China Mainland	2
Mi Xun Teahouse	¥	Vegetarian	1	Chengdu	China Mainland	2
La Maison de Win	$	Taiwanese contemporary	1	Taichung	Taiwan	3
Ban Bo	$	Taiwanese contemporary	1	Taipei	Taiwan	3
ZEA	$	Latin American	1	Taipei	Taiwan	4
Ad Astra	$	European Contemporary	1	Taipei	Taiwan	4
Kitcho	$	Sushi	1	Taipei	Taiwan	4
Danny's Steakhouse	$	Steakhouse	1	Taipei	Taiwan	3
Fleur de Sel	$	French Contemporary	1	Taichung	Taiwan	4
Sushi Akira	$	Sushi	1	Taipei	Taiwan	4
Yu Kapo	$	Japanese	1	Taipei	Taiwan	4
Tien Hsiang Lo	$	Hang Zhou	1	Taipei	Taiwan	3
Sushi Nomura	$	Sushi	1	Taipei	Taiwan	4
Golden Formosa	$	Taiwanese	1	Taipei	Taiwan	2
Longtail	$	Innovative	1	Taipei	Taiwan	3
Impromptu by Paul Lee	$	Innovative	1	Taipei	Taiwan	3
Mountain and Sea House	$	Taiwanese	1	Taipei	Taiwan	3
Mipon	$	Taiwanese	1	Taipei	Taiwan	3
Sho	$	Japanese	1	Kaohsiung	Taiwan	4
Oretachi No Nikuya	$	Barbecue	1	Taichung	Taiwan	3
A Cut	$	Steakhouse	1	Taipei	Taiwan	4
INITA	$	Italian Contemporary	1	Taipei	Taiwan	4
Ming Fu	$	Taiwanese	1	Taipei	Taiwan	3
Ken Anhe	$	Japanese	1	Taipei	Taiwan	4
Forchetta	$	European Contemporary	1	Taichung	Taiwan	3
Ya Ge	$	Cantonese	1	Taipei	Taiwan	4
Sushi Ryu	$	Sushi	1	Taipei	Taiwan	4
de nuit	$	French Contemporary	1	Taipei	Taiwan	4
T+T	$	Asian Contemporary	1	Taipei	Taiwan	3
Shin Yeh Taiwanese Signature	$	Taiwanese	1	Taipei	Taiwan	2
Fujin Tree Taiwanese Cuisine & Champagne (Songshan)	$	Taiwanese	1	Taipei	Taiwan	2
Holt	$	European Contemporary	1	Taipei	Taiwan	4
Sushiyoshi	$	Japanese	1	Taipei	Taiwan	4
Haili	$	Modern Cuisine	1	Kaohsiung	Taiwan	3
Paris 1930 de Hideki Takayama	$	French Contemporary	1	Taipei	Taiwan	4
Sur-	$	Taiwanese contemporary	1	Taichung	Taiwan	3
Manzke	$	Contemporary	1	Los Angeles	USA	4
Sons & Daughters	$	Contemporary	1	San Francisco	USA	4
The Progress	$	Californian	1	San Francisco	USA	3
Chez TJ	$	Contemporary	1	Mountain View	USA	4
Citrin	$	Californian	1	Santa Monica	USA	4
Six Test Kitchen	$	Contemporary	1	Paso Robles	USA	4
Osteria Mozza	$	Italian	1	Los Angeles	USA	4
Gary Danko	$	Contemporary	1	San Francisco	USA	4
Kenzo	$	Japanese	1	Napa	USA	4
Niku Steakhouse	$	Steakhouse	1	San Francisco	USA	4
State Bird Provisions	$	Californian	1	San Francisco	USA	3
Auberge du Soleil	$	Californian	1	Rutherford	USA	4
Barndiva	$	Californian	1	Healdsburg	USA	3
Osito	$	Contemporary	1	San Francisco	USA	4
Press	$	Modern Cuisine	1	Saint Helena	USA	4
Wisca (Haizhu)	¥	Cantonese	1	Guangzhou	China Mainland	2
Yong	¥	Sichuan	1	Guangzhou	China Mainland	4
Xin Ji	¥	Cantonese	1	Guangzhou	China Mainland	2
Rêver	¥	French Contemporary	1	Guangzhou	China Mainland	4
Jade River	¥	Cantonese	1	Guangzhou	China Mainland	3
Suyab Courtyard・Pickmoon Gourmet	¥	Chao Zhou	1	Guangzhou	China Mainland	4
Stiller	¥	European	1	Guangzhou	China Mainland	3
Lingnan House	¥	Cantonese	1	Guangzhou	China Mainland	3
Hongtu Hall	¥	Dim Sum	1	Guangzhou	China Mainland	2
BingSheng Mansion	¥	Cantonese	1	Guangzhou	China Mainland	3
Lei Garden (Yuexiu)	¥	Cantonese	1	Guangzhou	China Mainland	2
Imperial Treasure Fine Teochew Cuisine	¥	Chao Zhou	1	Guangzhou	China Mainland	3
Song	¥	Sichuan	1	Guangzhou	China Mainland	2
Yu Yue Heen	¥	Cantonese	1	Guangzhou	China Mainland	4
Lai Heen	¥	Cantonese	1	Guangzhou	China Mainland	3
BingSheng Private Kitchen (Tianhe East Road)	¥	Cantonese	1	Guangzhou	China Mainland	3
Art di Daniele Sperindio	$	Italian	1	Singapore		3
Lerouy	$	French Contemporary	1	Singapore		3
Euphoria	$	Innovative	1	Singapore		3
Jag	$	French Contemporary	1	Singapore		3
Candlenut	$	Peranakan	1	Singapore		2
Buona Terra	$	Italian Contemporary	1	Singapore		3
Sommer	$	European Contemporary	1	Singapore		3
Hill Street Tai Hwa Pork Noodle	$	Street Food	1	Singapore		1
Rhubarb	$	French Contemporary	1	Singapore		2
Cure	$	European Contemporary	1	Singapore		3
Terra	$	Italian Contemporary	1	Singapore		3
Sushi Sakuta	$	Sushi	1	Singapore		4
Meta	$	Innovative	1	Singapore		3
Imperial Treasure Fine Teochew Cuisine (Orchard)	$	Teochew	1	Singapore		2
Putien (Kitchener Road)	$	Fujian	1	Singapore		2
Whitegrass	$	French Contemporary	1	Singapore		3
Ma Cuisine	$	French	1	Singapore		3
Nouri	$	Innovative	1	Singapore		4
Shinji (Bras Basah Road)	$	Sushi	1	Singapore		4
Béni	$	French Contemporary	1	Singapore		3
Lei Garden	$	Cantonese	1	Singapore		2
Iggy's	$	European Contemporary	1	Singapore		3
Alma	$	European Contemporary	1	Singapore		3
Summer Pavilion	$	Cantonese	1	Singapore		2
CUT	$	Steakhouse	1	Singapore		3
Sushi Ichi	$	Sushi	1	Singapore		4
Sushi Kimura	$	Sushi	1	Singapore		4
Chef Kang's	$	Cantonese	1	Singapore		2
Braci	$	Italian Contemporary	1	Singapore		3
Burnt Ends	$	Barbecue	1	Singapore		3
Oshino	$	Sushi	1	Singapore		4
Nae:um	$	Korean Contemporary	1	Singapore		3
Esora	$	Innovative	1	Singapore		4
Born	$	Innovative	1	Singapore		4
Poise	$	European Contemporary	1	Singapore		3
La Dame de Pic	$	French Contemporary	1	Singapore		3
Summer Palace	$	Cantonese	1	Singapore		3
Table65	$	Innovative	1	Singapore		3
28 Wilkie	$	Innovative	1	Singapore		3
Willow	$	Asian Contemporary	1	Singapore		3
Hamamoto	$	Sushi	1	Singapore		4
Rêve	$	European Contemporary	1	Singapore		3
Marguerite	$	European Contemporary	1	Singapore		3
Boškinac	€	Creative	1	Novalja	Croatia	4
Pelegrini	€	Modern Cuisine	1	Sibenik	Croatia	4
Noel	€	Modern Cuisine	1	Zagreb	Croatia	4
Monte	€	Creative	1	Rovinj	Croatia	4
Draga di Lovrana	€	Modern Cuisine	1	Lovran	Croatia	4
DILL	€	Creative	1	Reykjavík	Iceland	4
Nour	€	Creative	1	Stockholm	Sweden	3
Villa Vest	€	Creative	1	Lønstrup	Denmark	2
Sabi Omakase Stavanger	€	Sushi	1	Stavanger	Norway	4
Dragsholm Slot Gourmet	€	Creative	1	Hørve	Denmark	4
Signum	€	Modern Cuisine	1	Mölnlycke	Sweden	4
K2	€	Modern Cuisine	1	Stavanger	Norway	3
MOTA	€	Creative	1	Nykøbing Sjælland	Denmark	3
Sabi Omakase Oslo	€	Sushi	1	Oslo	Norway	4
Kadeau Bornholm	€	Creative	1	Åkirkeby	Denmark	4
HYDE	€	Modern Cuisine	1	Oslo	Norway	3
28+	€	Modern Cuisine	1	Gothenburg	Sweden	3
SK Mat & Människor	€	Modern Cuisine	1	Gothenburg	Sweden	2
Statholdergaarden	€	Classic Cuisine	1	Oslo	Norway	3
Jatak	€	Modern Cuisine	1	Copenhagen	Denmark	3
Søllerød Kro	€	Modern Cuisine	1	Copenhagen	Denmark	3
VÅR	€	Modern Cuisine	1	Porvoo	Finland	4
Adam / Albin	€	Creative	1	Stockholm	Sweden	4
PM & Vänner	€	Creative	1	Växjö	Sweden	4
Lysverket	€	Modern Cuisine	1	Bergen	Norway	4
Grand Royal	€	Modern Cuisine	1	Vejle	Denmark	2
Mon Oncle	€	French	1	Oslo	Norway	3
Knystaforsen	€	Modern Cuisine	1	Rydöbruk	Sweden	4
ARO	€	Modern Cuisine	1	Odense	Denmark	3
Stallen	€	Norwegian	1	Oslo	Norway	3
Frederiksminde	€	Creative	1	Præstø	Denmark	4
Ekstedt	€	Modern Cuisine	1	Stockholm	Sweden	4
Hot Shop	€	Modern Cuisine	1	Oslo	Norway	3
Tri	€	Creative	1	Agger	Denmark	3
bhoga	€	Creative	1	Gothenburg	Sweden	3
Sushi Sho	€	Japanese	1	Stockholm	Sweden	3
À L'aise	€	Modern Cuisine	1	Oslo	Norway	4
Kaskis	€	Modern Cuisine	1	Turku	Finland	4
Olo	€	Modern Cuisine	1	Helsinki	Finland	4
Kontrast	€	Scandinavian	1	Oslo	Norway	4
Domæne	€	Creative	1	Herning	Denmark	3
ÓX	€	Modern Cuisine	1	Reykjavík	Iceland	4
formel B	€	Modern Cuisine	1	Copenhagen	Denmark	3
Demo	€	Modern Cuisine	1	Helsinki	Finland	4
SAVAGE	€	Creative	1	Oslo	Norway	3
Schlägergården	€	Modern Cuisine	1	Oslo	Norway	3
ÄNG	€	Creative	1	Tvååker	Sweden	4
Ti Trin Ned	€	Modern Cuisine	1	Fredericia	Denmark	3
Koka	€	Modern Cuisine	1	Gothenburg	Sweden	3
LYST	€	Creative	1	Vejle	Denmark	4
Gastromé	€	Modern Cuisine	1	Aarhus	Denmark	4
Substans	€	Creative	1	Aarhus	Denmark	3
Project	€	Modern Cuisine	1	Gothenburg	Sweden	3
Domestic	€	Modern Cuisine	1	Aarhus	Denmark	3
Grön	€	Modern Cuisine	1	Helsinki	Finland	4
Ănăn Saigon	₫	Vietnamese Contemporary	1	Ho Chi Minh City	Vietnam	2
Hibana by Koki	₫	Teppanyaki	1	Hanoi	Vietnam	4
Gia	₫	Vietnamese Contemporary	1	Hanoi	Vietnam	4
Tầm Vị	₫	Vietnamese	1	Hanoi	Vietnam	2
Jin Sha	¥	Zhejiang	1	Hangzhou	China Mainland	3
Longjing Manor	¥	Zhejiang	1	Hangzhou	China Mainland	3
Ambré Ciel	¥	Innovative	1	Hangzhou	China Mainland	4
Xin Rong Ji	¥	Taizhou	1	Hangzhou	China Mainland	3
Jie Xiang Lou	¥	Zhejiang	1	Hangzhou	China Mainland	3
Guiyu	¥	Zhejiang	1	Hangzhou	China Mainland	3
NOA Chef’s Hall	€	Creative	1	Tallinn	Estonia	4
Al Muntaha	$	French	1	Dubai		4
Torno Subito	$	Italian	1	Dubai		2
11 Woodfire	$	Modern Cuisine	1	Dubai		2
avatāra	$	Indian Vegetarian	1	Dubai		4
Armani Ristorante	$	Italian	1	Dubai		4
Dinner by Heston Blumenthal	$	Traditional British	1	Dubai		4
Tasca by José Avillez	$	Portuguese	1	Dubai		3
moonrise	$	Creative	1	Dubai		4
Hōseki	$	Japanese	1	Dubai		4
Lega'	¥	Italian	1	Nara	Japan	2
L'AUBERGE DE PLAISANCE SAKURAI	¥	French	1	Nara	Japan	3
Musoan	¥	Japanese	1	Nara	Japan	3
Ajinokaze Nishimura	¥	Japanese	1	Nara	Japan	3
Chugokusai Naramachi Kuko	¥	Chinese	1	Nara	Japan	3
La Terrasse irisée	¥	French	1	Nara	Japan	3
Koikiryori Aji Manso	¥	Japanese	1	Nara	Japan	3
Oryori Hirooka	¥	Japanese	1	Nara	Japan	2
Sushi Kawashima	¥	Sushi	1	Nara	Japan	3
GOKAN UOGIN	¥	Japanese	1	Nara	Japan	3
communico	¥	Innovative	1	Nara	Japan	3
Matsuki	¥	Japanese	1	Nara	Japan	3
Gen	¥	Soba	1	Nara	Japan	3
Okada	¥	Japanese	1	Nara	Japan	3
Wa Yamamura	¥	Japanese	1	Nara	Japan	3
Ajinotabibito Roman	¥	Japanese	1	Nara	Japan	3
Kaiseki Morimoto	¥	Japanese	1	Nara	Japan	3
Inada	¥	Japanese	1	Nara	Japan	3
Da terra	¥	Italian	1	Nara	Japan	3
LA TRACE	¥	French	1	Nara	Japan	3
The Surf Club Restaurant	$	American	1	Surfside	USA	4
Knife & Spoon	$	Steakhouse	1	Orlando	USA	4
Ariete	$	Contemporary	1	Miami	USA	4
Zuicho	$	Japanese	1	Hong Kong		4
The Demon Celebrity	$	Cantonese	1	Hong Kong		2
Ryota Kappou Modern	$	Japanese	1	Hong Kong		3
Andō	$	Innovative	1	Hong Kong		3
Hansik Goo	$	Korean	1	Hong Kong		3
Belon	$	French	1	Hong Kong		4
Liu Yuan Pavilion	$	Shanghainese	1	Hong Kong		2
Gaddi's	$	French	1	Hong Kong		4
Mandarin Grill + Bar	$	European Contemporary	1	Hong Kong		4
Seventh Son (Wan Chai)	$	Cantonese	1	Hong Kong		2
Sushi Saito	$	Sushi	1	Hong Kong		4
Épure	$	French Contemporary	1	Hong Kong		3
Yè Shanghai (Tsim Sha Tsui)	$	Shanghainese	1	Hong Kong		2
Yat Tung Heen	$	Cantonese	1	Hong Kong		2
Man Wah	$	Cantonese	1	Hong Kong		3
Noi	$	Italian Contemporary	1	Hong Kong		4
